1 - Quantidade de Chaves	
2 - Alpha máximo
3 - Tamanho das Páginas
4 - Páginas criadas
5 - Uso real [N Chaves / (Páginas * |Página|)]


10       0.1 2   50       0.10
10       0.1 4   25       0.10
10       0.1 8   13       0.10
10       0.1 16  7        0.09
10       0.1 32  4        0.08
10       0.1 64  2        0.08
10       0.1 128 2        0.04
10       0.2 2   25       0.20
10       0.2 4   13       0.19
10       0.2 8   7        0.18
10       0.2 16  4        0.16
10       0.2 32  2        0.16
10       0.2 64  2        0.08
10       0.2 128 2        0.04
10       0.3 2   17       0.29
10       0.3 4   9        0.28
10       0.3 8   5        0.25
10       0.3 16  3        0.21
10       0.3 32  2        0.16
10       0.3 64  2        0.08
10       0.3 128 2        0.04
10       0.4 2   13       0.38
10       0.4 4   7        0.36
10       0.4 8   4        0.31
10       0.4 16  2        0.31
10       0.4 32  2        0.16
10       0.4 64  2        0.08
10       0.4 128 2        0.04
10       0.5 2   10       0.50
10       0.5 4   5        0.50
10       0.5 8   3        0.42
10       0.5 16  2        0.31
10       0.5 32  2        0.16
10       0.5 64  2        0.08
10       0.5 128 2        0.04
10       0.6 2   9        0.56
10       0.6 4   5        0.50
10       0.6 8   3        0.42
10       0.6 16  2        0.31
10       0.6 32  2        0.16
10       0.6 64  2        0.08
10       0.6 128 2        0.04
10       0.7 2   8        0.62
10       0.7 4   4        0.62
10       0.7 8   2        0.62
10       0.7 16  2        0.31
10       0.7 32  2        0.16
10       0.7 64  2        0.08
10       0.7 128 2        0.04
10       0.8 2   7        0.71
10       0.8 4   4        0.62
10       0.8 8   2        0.62
10       0.8 16  2        0.31
10       0.8 32  2        0.16
10       0.8 64  2        0.08
10       0.8 128 2        0.04
10       0.9 2   6        0.83
10       0.9 4   4        0.62
10       0.9 8   2        0.62
10       0.9 16  2        0.31
10       0.9 32  2        0.16
10       0.9 64  2        0.08
10       0.9 128 2        0.04
100      0.1 2   500      0.10
100      0.1 4   250      0.10
100      0.1 8   125      0.10
100      0.1 16  63       0.10
100      0.1 32  32       0.10
100      0.1 64  16       0.10
100      0.1 128 8        0.10
100      0.2 2   250      0.20
100      0.2 4   125      0.20
100      0.2 8   63       0.20
100      0.2 16  32       0.20
100      0.2 32  16       0.20
100      0.2 64  8        0.20
100      0.2 128 4        0.20
100      0.3 2   167      0.30
100      0.3 4   84       0.30
100      0.3 8   42       0.30
100      0.3 16  21       0.30
100      0.3 32  11       0.28
100      0.3 64  6        0.26
100      0.3 128 3        0.26
100      0.4 2   125      0.40
100      0.4 4   63       0.40
100      0.4 8   32       0.39
100      0.4 16  16       0.39
100      0.4 32  8        0.39
100      0.4 64  4        0.39
100      0.4 128 2        0.39
100      0.5 2   100      0.50
100      0.5 4   50       0.50
100      0.5 8   25       0.50
100      0.5 16  13       0.48
100      0.5 32  7        0.45
100      0.5 64  4        0.39
100      0.5 128 2        0.39
100      0.6 2   84       0.60
100      0.6 4   42       0.60
100      0.6 8   21       0.60
100      0.6 16  11       0.57
100      0.6 32  6        0.52
100      0.6 64  3        0.52
100      0.6 128 2        0.39
100      0.7 2   72       0.69
100      0.7 4   36       0.69
100      0.7 8   18       0.69
100      0.7 16  9        0.69
100      0.7 32  5        0.62
100      0.7 64  3        0.52
100      0.7 128 2        0.39
100      0.8 2   66       0.76
100      0.8 4   33       0.76
100      0.8 8   17       0.74
100      0.8 16  8        0.78
100      0.8 32  4        0.78
100      0.8 64  2        0.78
100      0.8 128 2        0.39
100      0.9 2   57       0.88
100      0.9 4   29       0.86
100      0.9 8   17       0.74
100      0.9 16  8        0.78
100      0.9 32  4        0.78
100      0.9 64  2        0.78
100      0.9 128 2        0.39
1000     0.1 2   5000     0.10
1000     0.1 4   2500     0.10
1000     0.1 8   1250     0.10
1000     0.1 16  625      0.10
1000     0.1 32  313      0.10
1000     0.1 64  157      0.10
1000     0.1 128 79       0.10
1000     0.2 2   2500     0.20
1000     0.2 4   1250     0.20
1000     0.2 8   625      0.20
1000     0.2 16  313      0.20
1000     0.2 32  157      0.20
1000     0.2 64  79       0.20
1000     0.2 128 40       0.20
1000     0.3 2   1667     0.30
1000     0.3 4   834      0.30
1000     0.3 8   417      0.30
1000     0.3 16  209      0.30
1000     0.3 32  105      0.30
1000     0.3 64  53       0.29
1000     0.3 128 27       0.29
1000     0.4 2   1250     0.40
1000     0.4 4   625      0.40
1000     0.4 8   313      0.40
1000     0.4 16  157      0.40
1000     0.4 32  79       0.40
1000     0.4 64  40       0.39
1000     0.4 128 20       0.39
1000     0.5 2   1000     0.50
1000     0.5 4   500      0.50
1000     0.5 8   250      0.50
1000     0.5 16  125      0.50
1000     0.5 32  63       0.50
1000     0.5 64  32       0.49
1000     0.5 128 16       0.49
1000     0.6 2   834      0.60
1000     0.6 4   417      0.60
1000     0.6 8   209      0.60
1000     0.6 16  105      0.60
1000     0.6 32  53       0.59
1000     0.6 64  27       0.58
1000     0.6 128 14       0.56
1000     0.7 2   715      0.70
1000     0.7 4   358      0.70
1000     0.7 8   179      0.70
1000     0.7 16  90       0.69
1000     0.7 32  45       0.69
1000     0.7 64  23       0.68
1000     0.7 128 12       0.65
1000     0.8 2   625      0.80
1000     0.8 4   313      0.80
1000     0.8 8   158      0.79
1000     0.8 16  80       0.78
1000     0.8 32  41       0.76
1000     0.8 64  20       0.78
1000     0.8 128 10       0.78
1000     0.9 2   557      0.90
1000     0.9 4   283      0.88
1000     0.9 8   140      0.89
1000     0.9 16  71       0.88
1000     0.9 32  37       0.84
1000     0.9 64  18       0.87
1000     0.9 128 9        0.87
10000    0.1 2   50000    0.10
10000    0.1 4   25000    0.10
10000    0.1 8   12500    0.10
10000    0.1 16  6250     0.10
10000    0.1 32  3125     0.10
10000    0.1 64  1563     0.10
10000    0.1 128 782      0.10
10000    0.2 2   25000    0.20
10000    0.2 4   12500    0.20
10000    0.2 8   6250     0.20
10000    0.2 16  3125     0.20
10000    0.2 32  1563     0.20
10000    0.2 64  782      0.20
10000    0.2 128 391      0.20
10000    0.3 2   16667    0.30
10000    0.3 4   8334     0.30
10000    0.3 8   4167     0.30
10000    0.3 16  2084     0.30
10000    0.3 32  1042     0.30
10000    0.3 64  521      0.30
10000    0.3 128 261      0.30
10000    0.4 2   12500    0.40
10000    0.4 4   6250     0.40
10000    0.4 8   3125     0.40
10000    0.4 16  1563     0.40
10000    0.4 32  782      0.40
10000    0.4 64  391      0.40
10000    0.4 128 196      0.40
10000    0.5 2   10000    0.50
10000    0.5 4   5000     0.50
10000    0.5 8   2500     0.50
10000    0.5 16  1250     0.50
10000    0.5 32  625      0.50
10000    0.5 64  313      0.50
10000    0.5 128 157      0.50
10000    0.6 2   8334     0.60
10000    0.6 4   4171     0.60
10000    0.6 8   2117     0.59
10000    0.6 16  1042     0.60
10000    0.6 32  521      0.60
10000    0.6 64  262      0.60
10000    0.6 128 132      0.59
10000    0.7 2   7143     0.70
10000    0.7 4   3696     0.68
10000    0.7 8   1787     0.70
10000    0.7 16  893      0.70
10000    0.7 32  447      0.70
10000    0.7 64  225      0.69
10000    0.7 128 118      0.66
10000    0.8 2   6250     0.80
10000    0.8 4   3126     0.80
10000    0.8 8   1565     0.80
10000    0.8 16  782      0.80
10000    0.8 32  393      0.80
10000    0.8 64  196      0.80
10000    0.8 128 100      0.78
10000    0.9 2   5559     0.90
10000    0.9 4   2780     0.90
10000    0.9 8   1398     0.89
10000    0.9 16  711      0.88
10000    0.9 32  356      0.88
10000    0.9 64  183      0.85
10000    0.9 128 88       0.89
100000   0.1 2   500000   0.10
100000   0.1 4   250000   0.10
100000   0.1 8   125000   0.10
100000   0.1 16  62500    0.10
100000   0.1 32  31250    0.10
100000   0.1 64  15625    0.10
100000   0.1 128 7813     0.10
100000   0.2 2   250000   0.20
100000   0.2 4   125000   0.20
100000   0.2 8   62500    0.20
100000   0.2 16  31250    0.20
100000   0.2 32  15625    0.20
100000   0.2 64  7813     0.20
100000   0.2 128 3907     0.20
100000   0.3 2   166667   0.30
100000   0.3 4   83334    0.30
100000   0.3 8   41667    0.30
100000   0.3 16  20834    0.30
100000   0.3 32  10417    0.30
100000   0.3 64  5209     0.30
100000   0.3 128 2605     0.30
100000   0.4 2   125000   0.40
100000   0.4 4   62500    0.40
100000   0.4 8   31250    0.40
100000   0.4 16  15625    0.40
100000   0.4 32  7813     0.40
100000   0.4 64  3907     0.40
100000   0.4 128 1954     0.40
100000   0.5 2   100000   0.50
100000   0.5 4   50000    0.50
100000   0.5 8   25000    0.50
100000   0.5 16  12500    0.50
100000   0.5 32  6250     0.50
100000   0.5 64  3125     0.50
100000   0.5 128 1563     0.50
100000   0.6 2   83334    0.60
100000   0.6 4   41667    0.60
100000   0.6 8   20834    0.60
100000   0.6 16  10417    0.60
100000   0.6 32  5209     0.60
100000   0.6 64  2605     0.60
100000   0.6 128 1303     0.60
100000   0.7 2   71430    0.70
100000   0.7 4   35715    0.70
100000   0.7 8   17859    0.70
100000   0.7 16  9200     0.68
100000   0.7 32  4803     0.65
100000   0.7 64  2408     0.65
